user_id,post
1,"Hey 1, tech is taking over! #TechLife     "
2,"2, level up with yoga today! #StayStrong     "
3,"Hey 3, new destinations vibes calling you! #Wanderlust #Wanderlust#   "
4,"4, geek out on this gaming update! #Innovation#Innovation #   "
5,"Yo 5, smash your running routine! The ultimate workout plan for a"
6,"6, pack your bags for new destinations! #AdventureAwaitsThis post first appeared at"
7,"Hey 7, AI is taking over! #TechLife     "
8,"8, level up with workouts today! #StayStrong â€”Barry Dittman (B  "
9,"Hey 9, new destinations vibes calling you!https//     "
10,"10, enjoy this movies tidbit! #GoodVibesLadiesWise_      "
11,"Hey 11, coding is taking over! #TechLifeThis past week https//  "
12,"12, level up with cycling today! #StayStrong Becca (s   "
13,"Hey 13, new destinations vibes calling you! #WanderlustStyleIn    "
14,"14, geek out on this gaming update!     "
15,"Yo 15, smash your swimming routine!Id rather see my hair look like"
16,"16, pack your bags for new destinations! #AdventureAwaitsup go   "
17,"Hey 17, robots is taking over! #TechLifepic.twitter.com     "
18,"18, level up with dance today!Posted on Saturday, September 29th  "
19,"Hey 19, new destinations vibes calling you! #Wanderlust    "
20,"20, enjoy this books tidbit! #GoodVibesthe End, #GoodVibes    "
